GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,HFCs(1) (kt CO2 equivalent)
3.  Agriculture,180.0191817276349,242.80476608236864,18.02328584091962,,,Summary1.As2,BELGIUM,1995,Sector,
"4.  Land use, land-use change and forestry  (4)",-2308.026404819632,0.0002667933367,0.09112677200702,,,Summary1.As2,BELGIUM,1995,Sector,
5.  Waste,171.49960937188237,159.42801527750993,0.49115150017452,,,Summary1.As2,BELGIUM,1995,Sector,
3.  Agriculture,178.5745790107815,240.78672579148585,17.92197770328889,,,Summary1.As2,BELGIUM,1996,Sector,
"4.  Land use, land-use change and forestry  (4)",-2517.826438075203,0.23148209657505,0.11776623331664,,,Summary1.As2,BELGIUM,1996,Sector,
5.  Waste,173.02793025912123,155.80551020529657,0.49541493536586,,,Summary1.As2,BELGIUM,1996,Sector,
3.  Agriculture,177.9471062917647,238.10040976529788,18.16309673122215,,,Summary1.As2,BELGIUM,1997,Sector,
"4.  Land use, land-use change and forestry  (4)",-2060.49629743136,0.00241603919363,0.11887603876373,,,Summary1.As2,BELGIUM,1997,Sector,
5.  Waste,177.94973979807926,156.93816296913425,0.52872476260735,,,Summary1.As2,BELGIUM,1997,Sector,
3.  Agriculture,177.41066666495396,237.2777699712097,17.5321825839574,,,Summary1.As2,BELGIUM,1998,Sector,
"4.  Land use, land-use change and forestry  (4)",-2620.386671349612,0.00365610837714,0.13276905320422,,,Summary1.As2,BELGIUM,1998,Sector,
5.  Waste,151.88876996520636,152.34400357792967,0.53388207647726,,,Summary1.As2,BELGIUM,1998,Sector,
3.  Agriculture,177.32896230536917,238.2788307181791,18.10298000618563,,,Summary1.As2,BELGIUM,1999,Sector,
"4.  Land use, land-use change and forestry  (4)",-2146.543285708677,0.00073120153757,0.1464400765645,,,Summary1.As2,BELGIUM,1999,Sector,
5.  Waste,155.5550280069438,142.1434095206574,0.54549115330327,,,Summary1.As2,BELGIUM,1999,Sector,
3.  Agriculture,172.44400415006697,229.0479782984536,16.11243488885507,,,Summary1.As2,BELGIUM,2000,Sector,
"4.  Land use, land-use change and forestry  (4)",-1728.6419152714643,1.837132847e-05,0.16025227552862,,,Summary1.As2,BELGIUM,2000,Sector,
5.  Waste,203.9480852666152,135.9456701322165,0.51183510813616,,,Summary1.As2,BELGIUM,2000,Sector,
3.  Agriculture,171.23344960258575,228.28158728990192,15.44931011608755,,,Summary1.As2,BELGIUM,2001,Sector,
"4.  Land use, land-use change and forestry  (4)",-1560.7300733322984,0.00022944226956,0.17412682054412,,,Summary1.As2,BELGIUM,2001,Sector,
5.  Waste,209.52461322878872,119.73754868223656,0.51286615878386,,,Summary1.As2,BELGIUM,2001,Sector,
3.  Agriculture,171.4883564559658,221.2331873096423,15.66581933047944,,,Summary1.As2,BELGIUM,2002,Sector,
"4.  Land use, land-use change and forestry  (4)",-2157.13049158394,0.00212901082689,0.18810683289327,,,Summary1.As2,BELGIUM,2002,Sector,
5.  Waste,416.825421800257,112.65556894222097,0.51676003214861,,,Summary1.As2,BELGIUM,2002,Sector,
3.  Agriculture,168.41558214985312,213.6634161165817,15.08853596775578,,,Summary1.As2,BELGIUM,2003,Sector,
"4.  Land use, land-use change and forestry  (4)",-2054.72132549001,0.0012944473773,0.20194941350778,,,Summary1.As2,BELGIUM,2003,Sector,
5.  Waste,452.0767591876998,99.32434409285575,0.51222335211689,,,Summary1.As2,BELGIUM,2003,Sector,
3.  Agriculture,169.02417166767043,211.59293357552724,15.01300321245388,,,Summary1.As2,BELGIUM,2004,Sector,
"4.  Land use, land-use change and forestry  (4)",-1783.1773851774765,,0.2926583620235,,,Summary1.As2,BELGIUM,2004,Sector,
5.  Waste,501.0148205110403,98.82242610959692,0.52506577861682,,,Summary1.As2,BELGIUM,2004,Sector,
3.  Agriculture,169.17931124733568,208.8751993257036,14.56772330321613,,,Summary1.As2,BELGIUM,2005,Sector,
"4.  Land use, land-use change and forestry  (4)",-1846.3082511222972,6.66983342e-06,0.30593660967399,,,Summary1.As2,BELGIUM,2005,Sector,
5.  Waste,544.733761187,90.80508741222242,0.52804166523101,,,Summary1.As2,BELGIUM,2005,Sector,
3.  Agriculture,168.25964459462068,207.5529123305644,13.91087513627265,,,Summary1.As2,BELGIUM,2006,Sector,
"4.  Land use, land-use change and forestry  (4)",-1826.282291862379,2.667933367e-05,0.31918961629826,,,Summary1.As2,BELGIUM,2006,Sector,
5.  Waste,608.2599420357745,87.8807839156256,0.53116176966176,,,Summary1.As2,BELGIUM,2006,Sector,
3.  Agriculture,169.05528226586625,210.1032218283196,14.08177863463213,,,Summary1.As2,BELGIUM,2007,Sector,
"4.  Land use, land-use change and forestry  (4)",-1527.427654479476,0.00030414440384,0.33243088618034,,,Summary1.As2,BELGIUM,2007,Sector,
5.  Waste,735.0074393066557,81.14602644403766,0.48918928324793,,,Summary1.As2,BELGIUM,2007,Sector,
3.  Agriculture,167.063740196475,208.76827813571356,13.71161236399855,,,Summary1.As2,BELGIUM,2008,Sector,
"4.  Land use, land-use change and forestry  (4)",-1457.030496579701,,0.34565301628945,,,Summary1.As2,BELGIUM,2008,Sector,
5.  Waste,697.5517218695971,75.15843561192845,0.47590813036389,,,Summary1.As2,BELGIUM,2008,Sector,
3.  Agriculture,172.36173952436258,209.94123677401592,13.97694043578268,,,Summary1.As2,BELGIUM,2009,Sector,
"4.  Land use, land-use change and forestry  (4)",-1287.146761298065,,0.35881224625717,,,Summary1.As2,BELGIUM,2009,Sector,
5.  Waste,599.8584963933873,72.40526814346075,0.46850764334438,,,Summary1.As2,BELGIUM,2009,Sector,
3.  Agriculture,177.54927239375144,211.0182677140612,13.70115202276048,,,Summary1.As2,BELGIUM,2010,Sector,
"4.  Land use, land-use change and forestry  (4)",-459.98937766281057,,0.36888727955696,,,Summary1.As2,BELGIUM,2010,Sector,
5.  Waste,681.5160075244346,65.44771307713897,0.48608206629334,,,Summary1.As2,BELGIUM,2010,Sector,
3.  Agriculture,177.80521772516278,209.5154329526472,13.58032815870481,,,Summary1.As2,BELGIUM,2011,Sector,
"4.  Land use, land-use change and forestry  (4)",-394.9055345016504,0.06607396642719,0.38379409757256,,,Summary1.As2,BELGIUM,2011,Sector,
5.  Waste,528.0774609728193,63.12137105826286,0.48812543218485,,,Summary1.As2,BELGIUM,2011,Sector,
3.  Agriculture,176.80166329723508,210.9169540900881,13.19629579506229,,,Summary1.As2,BELGIUM,2012,Sector,
"4.  Land use, land-use change and forestry  (4)",-379.2963394466163,,0.38884906973295,,,Summary1.As2,BELGIUM,2012,Sector,
5.  Waste,517.580820645281,60.26213178618525,0.49340507181062,,,Summary1.As2,BELGIUM,2012,Sector,
3.  Agriculture,182.5171809261513,209.33990388919284,13.34218022665753,,,Summary1.As2,BELGIUM,2013,Sector,
"4.  Land use, land-use change and forestry  (4)",-1026.6013816297666,,0.38746335874287,,,Summary1.As2,BELGIUM,2013,Sector,
5.  Waste,310.0689264168548,54.08897353393717,0.47881566567588,,,Summary1.As2,BELGIUM,2013,Sector,
3.  Agriculture,190.83484465771872,210.04017521780472,13.72165143592946,,,Summary1.As2,BELGIUM,2014,Sector,
"4.  Land use, land-use change and forestry  (4)",-1009.3978482467776,,0.38597268577613,,,Summary1.As2,BELGIUM,2014,Sector,
5.  Waste,220.29558955555893,50.81044874168797,0.46082873860379,,,Summary1.As2,BELGIUM,2014,Sector,
3.  Agriculture,193.1663050160821,212.71752716587088,13.45633006674162,,,Summary1.As2,BELGIUM,2015,Sector,
"4.  Land use, land-use change and forestry  (4)",-958.1044841629586,,0.38442035943614,,,Summary1.As2,BELGIUM,2015,Sector,
5.  Waste,291.48872922932225,45.97276893377669,0.46700880166103,,,Summary1.As2,BELGIUM,2015,Sector,
3.  Agriculture,195.3536176657327,213.7750371422867,12.90814286535353,,,Summary1.As2,BELGIUM,2016,Sector,
"4.  Land use, land-use change and forestry  (4)",-871.1622585878123,,0.3876980804333,,,Summary1.As2,BELGIUM,2016,Sector,
5.  Waste,256.8349255161847,43.36166739020988,0.46141017091824,,,Summary1.As2,BELGIUM,2016,Sector,
3.  Agriculture,193.0810917885397,209.53107514326427,13.55922147163047,,,Summary1.As2,BELGIUM,2017,Sector,
"4.  Land use, land-use change and forestry  (4)",-748.9097949954701,,0.39093195494203,,,Summary1.As2,BELGIUM,2017,Sector,
5.  Waste,292.82350443470216,41.90763052961144,0.462247997571,,,Summary1.As2,BELGIUM,2017,Sector,
3.  Agriculture,192.51121246576088,210.24220824099515,13.03318007295952,,,Summary1.As2,BELGIUM,2018,Sector,
"4.  Land use, land-use change and forestry  (4)",-712.7555655025665,,0.39433487081528,,,Summary1.As2,BELGIUM,2018,Sector,
5.  Waste,287.26239676288486,38.66361013399221,0.44171164483342,,,Summary1.As2,BELGIUM,2018,Sector,
3.  Agriculture,192.22357994688568,208.99262173375104,13.26756336990199,,,Summary1.As2,BELGIUM,2019,Sector,
"4.  Land use, land-use change and forestry  (4)",-585.8581738327706,,0.39768794649203,,,Summary1.As2,BELGIUM,2019,Sector,
5.  Waste,280.7692817802019,36.45710361995846,0.46695596579325,,,Summary1.As2,BELGIUM,2019,Sector,
3.  Agriculture,193.62715814860675,208.985018797271,13.09771820622939,,,Summary1.As2,BELGIUM,2020,Sector,
"4.  Land use, land-use change and forestry  (4)",-438.8944041196612,,0.39242564461932,,,Summary1.As2,BELGIUM,2020,Sector,
5.  Waste,254.02560073734944,33.67349506521396,0.46568893021261,,,Summary1.As2,BELGIUM,2020,Sector,
3.  Agriculture,190.9256514827966,206.63553796093703,12.97156916721313,,,Summary1.As2,BELGIUM,2021,Sector,
"4.  Land use, land-use change and forestry  (4)",-427.61245337219225,0.01049307012,0.3884917185904,,,Summary1.As2,BELGIUM,2021,Sector,
5.  Waste,263.94620324,30.7872550683646,0.47107839659155,,,Summary1.As2,BELGIUM,2021,Sector,
International bunkers,16437.72562358808,0.10844955703174,0.43370822812698,,,Summary1.As3,BELGIUM,1990,Sector,
