GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),PFCs(1)
A. Fuel combustion     Reference approach(2),2332.0736633333354,,,,Summary1.As1,MALTA,2002,Subsector,1. Energy,,
                                           Sectoral approach(2),2743.1027785787123,0.18567376998171,0.03317543234983,,Summary1.As1,MALTA,2002,Subsector,1. Energy,,
1.  Energy industries,1956.86034,0.0763698,0.01527396,,Summary1.As1,MALTA,2002,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,59.5906136708133,0.00227449497952,0.00044757141981,,Summary1.As1,MALTA,2002,Subsector,1. Energy,,
3.  Transport,523.6479509937716,0.08341203303923,0.01502010552541,,Summary1.As1,MALTA,2002,Subsector,1. Energy,,
4.  Other sectors,201.56162871394773,0.02354017605615,0.00239395589099,,Summary1.As1,MALTA,2002,Subsector,1. Energy,,
5.  Other,1.44224520017992,7.726590681e-05,3.983951362e-05,,Summary1.As1,MALTA,2002,Subsector,1. Energy,,
B. Fugitive emissions from fuels,,,,,Summary1.As1,MALTA,2002,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,,,,,Summary1.As1,MALTA,2002,Subsector,1. Energy,,
A.  Mineral industry,0.198294885,,,,Summary1.As1,MALTA,2002,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,3.41014086177078,,,,Summary1.As1,MALTA,2002,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,MALTA,2002,Subsector,2.  Industrial processes and product use,12.20358451908474,
G.  Other product manufacture and use ,,,0.00918556212563,6.5596677e-05,Summary1.As1,MALTA,2002,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),2624.418646666669,,,,Summary1.As1,MALTA,2003,Subsector,1. Energy,,
                                           Sectoral approach(2),2956.834855879272,0.19153711329198,0.03509829273559,,Summary1.As1,MALTA,2003,Subsector,1. Energy,,
1.  Energy industries,2159.65608,0.0844776,0.01689552,,Summary1.As1,MALTA,2003,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,64.0368804215769,0.00245882062849,0.00048459893352,,Summary1.As1,MALTA,2003,Subsector,1. Energy,,
3.  Transport,524.4523266666982,0.08022044157314,0.01499313805158,,Summary1.As1,MALTA,2003,Subsector,1. Energy,,
4.  Other sectors,207.3859897728736,0.02430243445262,0.00268912236879,,Summary1.As1,MALTA,2003,Subsector,1. Energy,,
5.  Other,1.30357901812262,7.781663773e-05,3.59133817e-05,,Summary1.As1,MALTA,2003,Subsector,1. Energy,,
B. Fugitive emissions from fuels,,,,,Summary1.As1,MALTA,2003,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,,,,,Summary1.As1,MALTA,2003,Subsector,1. Energy,,
A.  Mineral industry,0.129077865,,,,Summary1.As1,MALTA,2003,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,3.42897439232256,,,,Summary1.As1,MALTA,2003,Subsector,2.  Industrial processes and product use,,
E.  Electronic industry ,,,,,Summary1.As1,MALTA,2003,Subsector,2.  Industrial processes and product use,0.124,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,MALTA,2003,Subsector,2.  Industrial processes and product use,13.4379285973507,
G.  Other product manufacture and use ,,,0.00862161637794,9.0419262e-05,Summary1.As1,MALTA,2003,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),2614.487113333336,,,,Summary1.As1,MALTA,2004,Subsector,1. Energy,,
                                           Sectoral approach(2),2845.2259473063336,0.18375882036522,0.03386592297282,,Summary1.As1,MALTA,2004,Subsector,1. Energy,,
1.  Energy industries,2065.53252,0.0805104,0.01610208,,Summary1.As1,MALTA,2004,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,64.1839583729042,0.00246975825636,0.00048717178268,,Summary1.As1,MALTA,2004,Subsector,1. Energy,,
3.  Transport,501.1585044263608,0.07564640107828,0.01457294194752,,Summary1.As1,MALTA,2004,Subsector,1. Energy,,
4.  Other sectors,213.041376993072,0.02505367262551,0.00266769215185,,Summary1.As1,MALTA,2004,Subsector,1. Energy,,
5.  Other,1.30958751399702,7.858840507e-05,3.603709077e-05,,Summary1.As1,MALTA,2004,Subsector,1. Energy,,
B. Fugitive emissions from fuels,,,,,Summary1.As1,MALTA,2004,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,,,,,Summary1.As1,MALTA,2004,Subsector,1. Energy,,
A.  Mineral industry,0.182224425,,,,Summary1.As1,MALTA,2004,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,3.17570786433601,,,,Summary1.As1,MALTA,2004,Subsector,2.  Industrial processes and product use,,
E.  Electronic industry ,,,,,Summary1.As1,MALTA,2004,Subsector,2.  Industrial processes and product use,0.3596,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,MALTA,2004,Subsector,2.  Industrial processes and product use,20.18580266410763,
G.  Other product manufacture and use ,,,0.00859821223975,6.7710778e-05,Summary1.As1,MALTA,2004,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),2620.968313333336,,,,Summary1.As1,MALTA,2005,Subsector,1. Energy,,
                                           Sectoral approach(2),2652.6730794360387,0.17000718221297,0.03540314078995,,Summary1.As1,MALTA,2005,Subsector,1. Energy,,
1.  Energy industries,1973.4807,0.076761,0.0153522,,Summary1.As1,MALTA,2005,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,27.7609,0.001015,0.0001984,,Summary1.As1,MALTA,2005,Subsector,1. Energy,,
3.  Transport,523.862212047434,0.07420692640232,0.01499430667626,,Summary1.As1,MALTA,2005,Subsector,1. Energy,,
4.  Other sectors,126.2676692072,0.01794849282352,0.00482234520237,,Summary1.As1,MALTA,2005,Subsector,1. Energy,,
5.  Other,1.30159818140507,7.576298713e-05,3.588891132e-05,,Summary1.As1,MALTA,2005,Subsector,1. Energy,,
B. Fugitive emissions from fuels,,,,,Summary1.As1,MALTA,2005,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,,,,,Summary1.As1,MALTA,2005,Subsector,1. Energy,,
A.  Mineral industry,0.05740197,,,,Summary1.As1,MALTA,2005,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,3.35513779352232,,,,Summary1.As1,MALTA,2005,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,MALTA,2005,Subsector,2.  Industrial processes and product use,35.18244795465304,
G.  Other product manufacture and use ,,,0.00824370133432,6.8621294e-05,Summary1.As1,MALTA,2005,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),2645.104953333336,,,,Summary1.As1,MALTA,2006,Subsector,1. Energy,,
