GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
2.  Manufacturing industries and construction                          ,4611.148198981032,0.28104109004778,0.04530803329625,,,,Summary1.As1,IRELAND,1999,Subsector,1. Energy
3.  Transport,9533.502850028315,1.79658514021485,0.57003197945001,,,,Summary1.As1,IRELAND,1999,Subsector,1. Energy
4.  Other sectors,9556.55899588144,8.41695527840434,0.36069896104843,,,,Summary1.As1,IRELAND,1999,Subsector,1. Energy
B. Fugitive emissions from fuels,38.29460714149372,3.21710942158024,6.763e-11,,,,Summary1.As1,IRELAND,1999,Subsector,1. Energy
1.  Solid fuels,,1.1165349,,,,,Summary1.As1,IRELAND,1999,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,38.29460714149372,2.10057452158024,6.763e-11,,,,Summary1.As1,IRELAND,1999,Subsector,1. Energy
A.  Mineral industry,1353.709634567598,,,,,,Summary1.As1,IRELAND,1999,Subsector,1. Energy
C.  Metal industry,26.8,,,,,,Summary1.As1,IRELAND,1999,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,81.93722520403418,,,,,,Summary1.As1,IRELAND,1999,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,9.58585556,231.465477,0.0007,Summary1.As1,IRELAND,1999,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,175.42580522878896,,,Summary1.As1,IRELAND,1999,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.086998081126,,0.112248,,,0.00211780683875,Summary1.As1,IRELAND,1999,Subsector,2.  Industrial processes and product use
H.  Other(3),23.48286545269098,,,,,,Summary1.As1,IRELAND,1999,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),40687.068278356455,,,,,,Summary1.As1,IRELAND,2000,Subsector,1. Energy
                                           Sectoral approach(2),41738.37942149493,10.85589342080608,1.29787120270186,,,,Summary1.As1,IRELAND,2000,Subsector,1. Energy
1.  Energy industries,16028.394761676103,0.43758556466658,0.25827788007767,,,,Summary1.As1,IRELAND,2000,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,5390.417319634691,0.32871233075843,0.05273222890037,,,,Summary1.As1,IRELAND,2000,Subsector,1. Energy
3.  Transport,10561.819445486148,1.68444131967695,0.61651147722256,,,,Summary1.As1,IRELAND,2000,Subsector,1. Energy
4.  Other sectors,9757.747894697988,8.40515420570412,0.37034961650126,,,,Summary1.As1,IRELAND,2000,Subsector,1. Energy
B. Fugitive emissions from fuels,0.0372878768505,3.32539643574754,,,,,Summary1.As1,IRELAND,2000,Subsector,1. Energy
1.  Solid fuels,,1.0808306,,,,,Summary1.As1,IRELAND,2000,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.0372878768505,2.24456583574754,,,,,Summary1.As1,IRELAND,2000,Subsector,1. Energy
A.  Mineral industry,1908.784131412666,,,,,,Summary1.As1,IRELAND,2000,Subsector,1. Energy
C.  Metal industry,28.8,,,,,,Summary1.As1,IRELAND,2000,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,134.30340352741206,,,,,,Summary1.As1,IRELAND,2000,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,12.68213556,361.34151,0.0013,Summary1.As1,IRELAND,2000,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,233.00185775335575,,,Summary1.As1,IRELAND,2000,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.0866916428664,,0.113685,,,0.00097256183631,Summary1.As1,IRELAND,2000,Subsector,2.  Industrial processes and product use
H.  Other(3),21.45118960165818,,,,,,Summary1.As1,IRELAND,2000,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),42916.0087427935,,,,,,Summary1.As1,IRELAND,2001,Subsector,1. Energy
                                           Sectoral approach(2),43770.37688860026,10.47955894414887,1.3489811713397,,,,Summary1.As1,IRELAND,2001,Subsector,1. Energy
1.  Energy industries,17238.997530376397,0.45903459513643,0.28103737327456,,,,Summary1.As1,IRELAND,2001,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,5361.090154170736,0.34601456034417,0.05475212270705,,,,Summary1.As1,IRELAND,2001,Subsector,1. Energy
3.  Transport,11079.029872248107,1.64628874540992,0.63866734985996,,,,Summary1.As1,IRELAND,2001,Subsector,1. Energy
4.  Other sectors,10091.259331805017,8.02822104325835,0.37452432549813,,,,Summary1.As1,IRELAND,2001,Subsector,1. Energy
B. Fugitive emissions from fuels,56.09162109885241,3.85679313379618,9.801e-11,,,,Summary1.As1,IRELAND,2001,Subsector,1. Energy
1.  Solid fuels,,1.0475249,,,,,Summary1.As1,IRELAND,2001,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,56.09162109885241,2.80926823379618,9.801e-11,,,,Summary1.As1,IRELAND,2001,Subsector,1. Energy
A.  Mineral industry,2061.437193346408,,,,,,Summary1.As1,IRELAND,2001,Subsector,1. Energy
C.  Metal industry,12.0,,,,,,Summary1.As1,IRELAND,2001,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,91.36875236511922,,,,,,Summary1.As1,IRELAND,2001,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,3.286,344.67333,0.000855,Summary1.As1,IRELAND,2001,Subsector,2.  Industrial processes and product use
