GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),PFCs(1)
                                           Sectoral approach(2),81.89964447529456,0.00871280320497,0.00652635663019,,Summary1.As1,MONACCO,2008,Subsector,1. Energy,,
1.  Energy industries,17.88214779262584,4.723169659e-05,0.00345812005766,,Summary1.As1,MONACCO,2008,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,3.72528720785945,0.00016117839847,0.0009907474715,,Summary1.As1,MONACCO,2008,Subsector,1. Energy,,
3.  Transport,32.62542996908369,0.00812905438646,0.00175266849036,,Summary1.As1,MONACCO,2008,Subsector,1. Energy,,
4.  Other sectors,27.66677950572559,0.00037533872345,0.00032482061067,,Summary1.As1,MONACCO,2008,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.00047500441,0.0243520088876,,,Summary1.As1,MONACCO,2008,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.00047500441,0.0243520088876,,,Summary1.As1,MONACCO,2008,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.04547187385953,1.193065573e-05,2.27213971e-06,,Summary1.As1,MONACCO,2008,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,MONACCO,2008,Subsector,1. Energy,6.02198745343972,0.02002644
A. Fuel combustion     Reference approach(2),78.55798888683431,,,,Summary1.As1,MONACCO,2009,Subsector,1. Energy,,
                                           Sectoral approach(2),78.83976648416434,0.00745615715548,0.00664154884524,,Summary1.As1,MONACCO,2009,Subsector,1. Energy,,
1.  Energy industries,17.26203470079165,6.138821034e-05,0.00370104066214,,Summary1.As1,MONACCO,2009,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,3.66733413842255,0.00016010391773,0.00098966579804,,Summary1.As1,MONACCO,2009,Subsector,1. Energy,,
3.  Transport,30.07186044292135,0.00686448959392,0.0016305729824,,Summary1.As1,MONACCO,2009,Subsector,1. Energy,,
4.  Other sectors,27.83853720202879,0.00037017543349,0.00032026940266,,Summary1.As1,MONACCO,2009,Subsector,1. Energy,,
B. Fugitive emissions from fuels,0.00038572786,0.0234055867914,,,Summary1.As1,MONACCO,2009,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,0.00038572786,0.0234055867914,,,Summary1.As1,MONACCO,2009,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,0.04144248317782,1.012983861e-05,2.08991588e-06,,Summary1.As1,MONACCO,2009,Subsector,1. Energy,,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,MONACCO,2009,Subsector,1. Energy,5.93211274592579,0.1287414
A. Fuel combustion     Reference approach(2),76.2000106689276,,,,Summary1.As1,MONACCO,2010,Subsector,1. Energy,,
                                           Sectoral approach(2),76.35954501225169,0.00616928473073,0.0064461226023,,Summary1.As1,MONACCO,2010,Subsector,1. Energy,,
1.  Energy industries,16.95520692204489,6.519976592e-05,0.00371364531118,,Summary1.As1,MONACCO,2010,Subsector,1. Energy,,
