GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
"4.  Land use, land-use change and forestry  (4)",-3097.2024210059026,1.73511754708698,0.02919747162077,,,,Summary1.As2,GREECE,1995,Sector
5.  Waste,0.22014666666667,194.14566599247635,0.9970941839167,,,,Summary1.As2,GREECE,1995,Sector
3.  Agriculture,46.01980952380953,201.15483647258424,16.07425681386013,,,,Summary1.As2,GREECE,1996,Sector
"4.  Land use, land-use change and forestry  (4)",-2461.075090830454,1.04830795139195,0.02706867638037,,,,Summary1.As2,GREECE,1996,Sector
5.  Waste,0.22014666666667,198.06527248128137,1.00176779801272,,,,Summary1.As2,GREECE,1996,Sector
3.  Agriculture,43.74019047619047,201.5605450868464,15.76622898377701,,,,Summary1.As2,GREECE,1997,Sector
"4.  Land use, land-use change and forestry  (4)",-2238.9534267723484,2.31165703145945,0.03860020821038,,,,Summary1.As2,GREECE,1997,Sector
5.  Waste,0.22014666666667,196.36137783924897,1.01753718882806,,,,Summary1.As2,GREECE,1997,Sector
3.  Agriculture,43.88266666666666,200.4877488659743,15.71575175718987,,,,Summary1.As2,GREECE,1998,Sector
"4.  Land use, land-use change and forestry  (4)",-2422.2116853232865,6.30507659972775,0.06846964458107,,,,Summary1.As2,GREECE,1998,Sector
5.  Waste,0.22014666666667,203.5277504828936,1.01479979397827,,,,Summary1.As2,GREECE,1998,Sector
3.  Agriculture,41.74552380952382,200.37449172577436,15.40503465420958,,,,Summary1.As2,GREECE,1999,Sector
"4.  Land use, land-use change and forestry  (4)",-2721.389585004143,0.48006866693431,0.03086677523418,,,,Summary1.As2,GREECE,1999,Sector
5.  Waste,0.22014666666667,201.21464047989005,1.05457258375362,,,,Summary1.As2,GREECE,1999,Sector
3.  Agriculture,38.46857142857143,198.24994612483877,14.99733082056021,,,,Summary1.As2,GREECE,2000,Sector
"4.  Land use, land-use change and forestry  (4)",-2776.415673409733,8.3211822537847,0.08906802557349,,,,Summary1.As2,GREECE,2000,Sector
5.  Waste,0.22014666666667,201.11063254455453,1.10058994267596,,,,Summary1.As2,GREECE,2000,Sector
3.  Agriculture,37.04380952380954,199.1227121629239,14.80853255458345,,,,Summary1.As2,GREECE,2001,Sector
"4.  Land use, land-use change and forestry  (4)",-2669.370983994167,1.11755400422203,0.04416057128174,,,,Summary1.As2,GREECE,2001,Sector
5.  Waste,0.22014666666667,170.4617550772834,1.04787257304124,,,,Summary1.As2,GREECE,2001,Sector
3.  Agriculture,36.0464761904762,200.67607953521176,14.64982755691937,,,,Summary1.As2,GREECE,2002,Sector
"4.  Land use, land-use change and forestry  (4)",-2976.396855410037,0.15223637611888,0.04010388730612,,,,Summary1.As2,GREECE,2002,Sector
