GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
2.  Manufacturing industries and construction                          ,11383.88977138666,0.695029374,0.562975983,,,,Summary1.As1,FINLAND,2003,Subsector,1. Energy
3.  Transport,12401.35604,1.724191659,0.369577206,,,,Summary1.As1,FINLAND,2003,Subsector,1. Energy
4.  Other sectors,5841.741185833,7.878527382,0.261198937,,,,Summary1.As1,FINLAND,2003,Subsector,1. Energy
5.  Other,1517.48257,0.16545511,0.03620343,,,,Summary1.As1,FINLAND,2003,Subsector,1. Energy
B. Fugitive emissions from fuels,56.02196,2.791769679,0.00202418,,,,Summary1.As1,FINLAND,2003,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,56.02196,2.791769679,0.00202418,,,,Summary1.As1,FINLAND,2003,Subsector,1. Energy
A.  Mineral industry,1127.5811720170304,,,,,,Summary1.As1,FINLAND,2003,Subsector,1. Energy
C.  Metal industry,2480.8659307875,8.9522e-05,,,,,Summary1.As1,FINLAND,2003,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,117.15509448124,0.00562,0.00281,,,,Summary1.As1,FINLAND,2003,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,949.4300695800864,1.95338812713686,,Summary1.As1,FINLAND,2003,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,0.14640515157088,,,0.00034240995,Summary1.As1,FINLAND,2003,Subsector,2.  Industrial processes and product use
H.  Other(3),,,,2.41472019991688,1.179082755,0.000779,Summary1.As1,FINLAND,2003,Subsector,2.  Industrial processes and product use
