Main_Category,Year,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt)
5. Waste,2018,1617.7586545034992,0.041804413019,0.05793568506625,0.0,0.0,0.0
5. Waste,2019,1632.680171815069,0.04303736634314,0.05796841846701,0.0,0.0,0.0
5. Waste,2020,1374.5053545326507,0.03702123504117,0.04832493932549,0.0,0.0,0.0
5. Waste,2021,1567.9662555185243,0.03945352337645,0.05672880500531,0.0,0.0,0.0
6. Other,1990,0.0,1.24420140183634,2.01363224303966,0.0,70.83181122676056,0.03590505573414
6. Other,1991,0.0,1.00907940730941,2.02080590805121,0.0,78.83880397231675,0.03847576674504
6. Other,1992,0.0,0.90320775093853,2.01658876466249,0.0,88.32308687942798,0.04129395672488
6. Other,1993,0.0,0.75997732759405,2.01284855845658,0.0,99.55721998290116,0.03400225085002
6. Other,1994,0.0,0.85600532847644,2.01462571672402,0.0,112.86405064396511,0.03596043695483
6. Other,1995,0.0,0.8524186774075,2.01070908825522,0.0,128.62599156199553,0.03794925010729
6. Other,1996,0.0,0.77085945382999,1.96582873095613,0.0,147.29601057940246,0.0399671559461
6. Other,1997,0.0,0.73230513650008,1.96080059798528,0.0,169.4106481055209,0.0387392829415
6. Other,1998,0.0,0.70685823986494,1.98029109834595,0.0,163.2737472744737,0.03911085508732
6. Other,1999,0.0,0.58414641071181,1.98318907603947,0.0,187.76480936564533,0.03789650286023
6. Other,2000,0.0,0.58556054248559,2.02571851610929,0.0,215.9295307704913,0.03573036141182
6. Other,2001,0.0,0.58142805982039,2.04748379343195,0.0,131.71701377,0.03270662276026
6. Other,2002,0.0,0.58637559414503,2.04613454480315,0.0,131.71701377,0.03065833062207
6. Other,2003,0.0,0.61753830023822,2.04559759406436,0.0,131.10758511954432,0.0298220094966
6. Other,2004,0.0,0.6076509962929,2.41518355864172,0.0,130.4977797388685,0.03203352530097
6. Other,2005,0.0,0.51417786616677,2.75451593839013,0.0,122.23377617224476,0.03446420318911
6. Other,2006,0.0,0.83487609725239,2.76337744154084,0.0,114.67411985823314,0.02514585628218
