GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt)
B. Fugitive emissions from fuels,6.41890036691192,108.68181591055044,9.88e-07,Summary1.As1,BLR,2001,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,6.41890036691192,108.68181591055044,9.88e-07,Summary1.As1,BLR,2001,Subsector,1. Energy,,,
A.  Mineral industry,1467.3275876031614,,,Summary1.As1,BLR,2001,Subsector,1. Energy,,,
C.  Metal industry,128.92,1.45035,,Summary1.As1,BLR,2001,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,3.04146968106667,,,Summary1.As1,BLR,2001,Subsector,2.  Industrial processes and product use,,,
E.  Electronic industry ,,,,Summary1.As1,BLR,2001,Subsector,2.  Industrial processes and product use,3.08533995,18.680237793756,0.0002079
F.  Product uses as substitutes for ODS,,,,Summary1.As1,BLR,2001,Subsector,2.  Industrial processes and product use,10.13277210158175,,
G.  Other product manufacture and use ,,,0.269,Summary1.As1,BLR,2001,Subsector,2.  Industrial processes and product use,,,4.85e-06
H.  Other(3),,,,Summary1.As1,BLR,2001,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),47874.47346967926,,,Summary1.As1,BLR,2002,Subsector,1. Energy,,,
                                           Sectoral approach(2),49435.0369605,14.3088746495,1.497823054,Summary1.As1,BLR,2002,Subsector,1. Energy,,,
1.  Energy industries,31928.58156,0.9812118,0.147084472,Summary1.As1,BLR,2002,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,3121.061356,0.1295219,0.018249526,Summary1.As1,BLR,2002,Subsector,1. Energy,,,
3.  Transport,6751.0600755000005,1.5899927645,0.534224976,Summary1.As1,BLR,2002,Subsector,1. Energy,,,
4.  Other sectors,6384.6624225000005,11.131723585,0.789883552,Summary1.As1,BLR,2002,Subsector,1. Energy,,,
5.  Other,1249.6715465,0.4764246,0.008380528,Summary1.As1,BLR,2002,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,6.44371855473401,109.78813771697249,9.12e-07,Summary1.As1,BLR,2002,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,6.44371855473401,109.78813771697249,9.12e-07,Summary1.As1,BLR,2002,Subsector,1. Energy,,,
A.  Mineral industry,1660.9028231746288,,,Summary1.As1,BLR,2002,Subsector,1. Energy,,,
C.  Metal industry,128.544,1.44612,,Summary1.As1,BLR,2002,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,5.3369389216,,,Summary1.As1,BLR,2002,Subsector,2.  Industrial processes and product use,,,
E.  Electronic industry ,,,,Summary1.As1,BLR,2002,Subsector,2.  Industrial processes and product use,3.08533995,18.680237793756,0.0002079
F.  Product uses as substitutes for ODS,,,,Summary1.As1,BLR,2002,Subsector,2.  Industrial processes and product use,13.32730792827065,,
G.  Other product manufacture and use ,,,0.26,Summary1.As1,BLR,2002,Subsector,2.  Industrial processes and product use,,,5.18e-06
H.  Other(3),,,,Summary1.As1,BLR,2002,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),48447.69549494368,,,Summary1.As1,BLR,2003,Subsector,1. Energy,,,
                                           Sectoral approach(2),49992.463015,13.94404171945,1.5316862878,Summary1.As1,BLR,2003,Subsector,1. Energy,,,
1.  Energy industries,31861.452758,0.99070524,0.14527904,Summary1.As1,BLR,2003,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,3472.992217,0.14109026,0.01941535,Summary1.As1,BLR,2003,Subsector,1. Energy,,,
3.  Transport,6968.7224160000005,1.62335986945,0.5497874138,Summary1.As1,BLR,2003,Subsector,1. Energy,,,
4.  Other sectors,6346.286799500001,10.68905715,0.808112448,Summary1.As1,BLR,2003,Subsector,1. Energy,,,
5.  Other,1343.0088245,0.4998292,0.009092036,Summary1.As1,BLR,2003,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,6.488011766825,111.0681304293578,1.368e-06,Summary1.As1,BLR,2003,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,6.488011766825,111.0681304293578,1.368e-06,Summary1.As1,BLR,2003,Subsector,1. Energy,,,
A.  Mineral industry,1885.7605688983908,,,Summary1.As1,BLR,2003,Subsector,1. Energy,,,
C.  Metal industry,135.52,1.5246,,Summary1.As1,BLR,2003,Subsector,2.  Industrial processes and product use,,,
D.  Non-energy products from fuels and solvent use ,8.26499648773333,,,Summary1.As1,BLR,2003,Subsector,2.  Industrial processes and product use,,,
E.  Electronic industry ,,,,Summary1.As1,BLR,2003,Subsector,2.  Industrial processes and product use,3.08533995,18.680237793756,0.0002079
F.  Product uses as substitutes for ODS,,,,Summary1.As1,BLR,2003,Subsector,2.  Industrial processes and product use,16.73837592125643,,
G.  Other product manufacture and use ,,,0.256,Summary1.As1,BLR,2003,Subsector,2.  Industrial processes and product use,,,7.225e-06
H.  Other(3),,,,Summary1.As1,BLR,2003,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),51347.32519816685,,,Summary1.As1,BLR,2004,Subsector,1. Energy,,,
                                           Sectoral approach(2),52966.229332,13.75983033445,1.5998330778,Summary1.As1,BLR,2004,Subsector,1. Energy,,,
1.  Energy industries,34162.4680845,1.08595817,0.154831684,Summary1.As1,BLR,2004,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,3756.0662175,0.14632263,0.02003321,Summary1.As1,BLR,2004,Subsector,1. Energy,,,
3.  Transport,7107.347445,1.65179148945,0.5684938918,Summary1.As1,BLR,2004,Subsector,1. Energy,,,
4.  Other sectors,6326.418919,10.336630345,0.845219074,Summary1.As1,BLR,2004,Subsector,1. Energy,,,
5.  Other,1613.928666,0.5391277,0.011255218,Summary1.As1,BLR,2004,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,6.57642418999631,114.31116796100918,9.88e-07,Summary1.As1,BLR,2004,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,6.57642418999631,114.31116796100918,9.88e-07,Summary1.As1,BLR,2004,Subsector,1. Energy,,,
A.  Mineral industry,2075.399243380233,,,Summary1.As1,BLR,2004,Subsector,1. Energy,,,
